1. Which is your primary browser for development,2. Which of the following technologies have you made use of?,2. Which of the following technologies have you made use of?,2. Which of the following technologies have you made use of?,2. Which of the following technologies have you made use of?,2. Which of the following technologies have you made use of?,3. How old are the apps you frequently work on?,3. How old are the apps you frequently work on?,3. How old are the apps you frequently work on?,3. How old are the apps you frequently work on?,4. What is your typical Internet connection speed?,5. Web innovation is outpacing native,6. I am satisfied with the state of browser tooling for web dev,7. Building for the web is becoming easier over time,8. I feel safe while browsing the web,9. I am satisfied with browser standards adoption,10. The web is improving for end-users,11. I am satisfied with the communication between the software side and the business side of my organization,12. I am satisfied with the communication between the design side and the engineering side of my organization,13. I am satisfied with the state of analytics tooling for the web,14. I am satisfied with the state of a/b test tooling for the web,15. I am satisfied with the current user interface design trends for the web,16. I am familiar with the laws associated with GDPR,17. The desktop web is typically slow and sluggish,18. Accessibility is an important concern in my web development,19. The mobile web is typically slow and sluggish,20. I dislike ads on the web,21. I am optimistic about the future of progressive web apps,22. Artificial intelligence advancements are having a big impact on the web,23. I am satisfied with the development libraries my team and I use,24. Which software development roles do you assume on a regular basis?,24. Which software development roles do you assume on a regular basis?,24. Which software development roles do you assume on a regular basis?,24. Which software development roles do you assume on a regular basis?,24. Which software development roles do you assume on a regular basis?,24. Which software development roles do you assume on a regular basis?,24. Which software development roles do you assume on a regular basis?,24. Which software development roles do you assume on a regular basis?,24. Which software development roles do you assume on a regular basis?,24. Which software development roles do you assume on a regular basis?,25. Which of these front-end JavaScript frameworks do you work currently work with?,25. Which of these front-end JavaScript frameworks do you work currently work with?,25. Which of these front-end JavaScript frameworks do you work currently work with?,25. Which of these front-end JavaScript frameworks do you work currently work with?,25. Which of these front-end JavaScript frameworks do you work currently work with?,25. Which of these front-end JavaScript frameworks do you work currently work with?,25. Which of these front-end JavaScript frameworks do you work currently work with?,"26. When working with CSS, which of the following do you make use of?","26. When working with CSS, which of the following do you make use of?","26. When working with CSS, which of the following do you make use of?","26. When working with CSS, which of the following do you make use of?","26. When working with CSS, which of the following do you make use of?",27. How does your team/project do a/b testing in your projects?,28. Which desktop operating system do you use for development?,28. Which desktop operating system do you use for development?,28. Which desktop operating system do you use for development?,28. Which desktop operating system do you use for development?,29. Does your team/project support IE 10 and under?,30. Should browsers still allow users to disable JavaScript?,31. Do the apps/sites you work on typically import custom fonts?,32. Does your team create design mockups before coding?,"33. Does your team use a package manager such as npm, yarn, bower, etc.?",34. Do your projects currently serve WebP-formatted images to supporting browsers?,35. Does your team write code tests for front-end code?,36. Does your team write code tests for back-end code?,37. Do you typically practice test-driven-development?,38. What is your age?,39. How long have you been working in software (in years),40. Which mobile device ecosystem you use for personal use?,41. What is your gender identity?,42. Which of the following educational programs have you made use of?,42. Which of the following educational programs have you made use of?,42. Which of the following educational programs have you made use of?,42. Which of the following educational programs have you made use of?,42. Which of the following educational programs have you made use of?,43. Are you a...
Firefox,HTTP2,(blank),(blank),Content Distribution Network (CDN),(blank),Less than 1 year,1-3 years,3-8 years,(blank),Over 15mbps,6,4,3,7,5,0,0,0,5,5,3,3,3,10,3,3,5,0,6,Front-end web development,Back-end web development,(blank),(blank),(blank),Admin/ops for web team,(blank),(blank),(blank),(blank),(blank),Angular,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),None of the above,(blank),My team doesn't practice a/b testing,MacOS,(blank),(blank),,0,0,1,0,1,0,1,1,0,25 - 29,7,iOS,Man,A computer science degree,(blank),(blank),(blank),(blank),Dog person
Firefox,HTTP2,(blank),(blank),(blank),(blank),Less than 1 year,1-3 years,3-8 years,More than 8 years,5mbps to 10mbps,0,10,10,0,0,9,0,0,0,0,8,0,0,0,0,,10,10,10,Front-end web development,Back-end web development,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),I don't use any JavaScript frameworks,(blank),(blank),grid,(blank),(blank),(blank),Open source library/framework,(blank),Windows,Linux,,1,1,1,1,1,0,1,1,1,18 - 24,3,Android,Prefer Not to Answer,A computer science degree,(blank),(blank),(blank),None of the above,Neither
Chrome,(blank),Service Workers,Browser Push Notifications,Content Distribution Network (CDN),(blank),Less than 1 year,(blank),(blank),(blank),2mbps to 5mbps,10,8,9,9,7,8,8,9,6,6,7,2,1,10,6,8,10,7,8,Front-end web development,Back-end web development,Web design,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),Vue,(blank),(blank),(blank),flexbox,(blank),preprocessors,(blank),(blank),Open source library/framework,(blank),Windows,(blank),,0,1,1,1,1,0,1,1,1,30 - 34,11,Android,Man,(blank),(blank),(blank),A self-paced online learning program,(blank),Dog person
Chrome,(blank),(blank),Browser Push Notifications,Content Distribution Network (CDN),(blank),(blank),1-3 years,(blank),(blank),Over 15mbps,7,5,8,7,5,7,4,8,6,6,6,6,3,7,5,10,6,5,8,(blank),Back-end web development,(blank),(blank),(blank),(blank),I am a developer but not for web,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),I don't write front-end JavaScript,flexbox,(blank),(blank),(blank),(blank),My team doesn't practice a/b testing,(blank),Windows,(blank),,0,0,1,1,1,0,0,0,0,25 - 29,6,iOS,Man,(blank),(blank),(blank),A self-paced online learning program,None of the above,Cat person
Chrome,(blank),(blank),Browser Push Notifications,Content Distribution Network (CDN),(blank),(blank),1-3 years,(blank),(blank),Over 15mbps,,4,8,3,6,8,3,8,2,,5,7,0,7,2,8,8,8,6,Front-end web development,Back-end web development,(blank),(blank),(blank),Admin/ops for web team,(blank),(blank),(blank),(blank),(blank),Angular,(blank),(blank),(blank),(blank),(blank),flexbox,(blank),preprocessors,(blank),(blank),My team doesn't practice a/b testing,MacOS,(blank),Linux,,0,0,1,1,1,0,0,1,0,30 - 34,7,Android,Man,A computer science degree,(blank),(blank),(blank),(blank),Neither
Chrome,(blank),Service Workers,(blank),(blank),(blank),Less than 1 year,(blank),(blank),(blank),Over 15mbps,10,10,10,0,10,10,0,4,,,10,0,0,0,10,10,10,0,10,Front-end web development,Back-end web development,(blank),(blank),Web tooling development,Admin/ops for web team,(blank),(blank),(blank),(blank),(blank),Angular,(blank),(blank),(blank),(blank),(blank),flexbox,grid,(blank),(blank),(blank),My team doesn't practice a/b testing,MacOS,(blank),Linux,,0,1,0,1,1,0,1,1,0,25 - 29,5,Android,Man,A computer science degree,(blank),(blank),(blank),(blank),Neither
Chrome,(blank),(blank),Browser Push Notifications,Content Distribution Network (CDN),(blank),(blank),(blank),3-8 years,(blank),Over 15mbps,8,8,4,6,8,6,9,9,6,,6,8,6,8,8,10,6,2,5,Front-end web development,Back-end web development,Web design,(blank),Web tooling development,Admin/ops for web team,(blank),(blank),(blank),(blank),(blank),Angular,(blank),(blank),(blank),(blank),(blank),flexbox,(blank),preprocessors,(blank),(blank),Custom built solution,MacOS,(blank),(blank),,0,1,1,1,1,0,1,1,0,35 - 39,20,Android,Man,A computer science degree,(blank),(blank),(blank),(blank),Cat person
Chrome,HTTP2,(blank),Browser Push Notifications,Content Distribution Network (CDN),(blank),(blank),(blank),3-8 years,(blank),Over 15mbps,6,5,7,4,7,6,8,4,5,4,6,8,8,9,5,9,8,5,8,Front-end web development,Back-end web development,(blank),(blank),Web tooling development,Admin/ops for web team,(blank),(blank),(blank),(blank),(blank),(blank),(blank),Vue,(blank),(blank),(blank),flexbox,grid,(blank),(blank),(blank),My team doesn't practice a/b testing,MacOS,(blank),(blank),,0,1,1,1,1,0,0,1,0,40 - 49,18,Android,Man,A computer science degree,(blank),(blank),(blank),(blank),Cat person
Chrome,(blank),(blank),(blank),(blank),(blank),(blank),1-3 years,(blank),(blank),Over 15mbps,8,7,8,8,8,8,6,5,8,7,8,8,5,6,7,9,9,7,8,Front-end web development,Back-end web development,(blank),(blank),Web tooling development,Admin/ops for web team,(blank),(blank),(blank),(blank),React,(blank),(blank),(blank),(blank),(blank),(blank),flexbox,grid,preprocessors,(blank),(blank),My team doesn't practice a/b testing,MacOS,(blank),(blank),,0,1,1,1,1,1,1,1,0,30 - 34,12,iOS,Man,A computer science degree,(blank),(blank),(blank),(blank),Dog person
Firefox,(blank),(blank),(blank),Content Distribution Network (CDN),(blank),(blank),1-3 years,(blank),(blank),Over 15mbps,0,6,0,0,5,0,10,4,9,5,0,10,8,9,8,10,0,3,0,Front-end web development,Back-end web development,Web design,(blank),Web tooling development,Admin/ops for web team,I am a developer but not for web,(blank),(blank),(blank),(blank),(blank),(blank),(blank),I use frameworks but none of these,(blank),(blank),flexbox,grid,preprocessors,(blank),(blank),My team doesn't practice a/b testing,(blank),Windows,Linux,OpenBSD,1,1,1,1,1,0,1,1,0,30 - 34,21,Android,Prefer Not to Answer,A computer science degree,(blank),(blank),A self-paced online learning program,(blank),Dog person
Chrome,(blank),(blank),Browser Push Notifications,Content Distribution Network (CDN),(blank),(blank),(blank),(blank),More than 8 years,Over 15mbps,4,3,3,3,8,10,6,7,8,8,8,9,0,2,5,5,5,5,3,Front-end web development,Back-end web development,Web design,(blank),(blank),Admin/ops for web team,I am a developer but not for web,(blank),(blank),(blank),React,Angular,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),I don't work with CSS,,(blank),Windows,(blank),,0,1,1,1,1,1,1,1,1,18 - 24,2,Android,Man,A computer science degree,(blank),(blank),(blank),(blank),Neither
Chrome,(blank),Service Workers,(blank),Content Distribution Network (CDN),(blank),Less than 1 year,1-3 years,(blank),(blank),Over 15mbps,8,8,10,6,6,6,,,6,,8,6,0,8,5,10,10,5,9,Front-end web development,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),React,(blank),(blank),(blank),(blank),(blank),(blank),flexbox,(blank),preprocessors,(blank),(blank),,MacOS,Windows,(blank),,,1,1,1,1,,1,1,0,30 - 34,2,Android,Man,A computer science degree,(blank),(blank),A self-paced online learning program,(blank),Cat person
Chrome,(blank),(blank),(blank),(blank),Accelerated Mobile Pages (AMP),(blank),1-3 years,(blank),(blank),I don't know,7,8,6,6,7,7,8,8,7,7,7,6,4,6,5,8,8,5,7,Front-end web development,Back-end web development,(blank),(blank),Web tooling development,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),Vue,(blank),(blank),(blank),flexbox,grid,preprocessors,(blank),(blank),Third party product/service,MacOS,(blank),(blank),,0,1,1,1,1,1,1,1,0,30 - 34,18,iOS,Man,A computer science degree,(blank),(blank),(blank),(blank),Neither
Firefox,(blank),(blank),(blank),(blank),(blank),Less than 1 year,(blank),(blank),(blank),Over 15mbps,5,7,7,8,7,7,7,5,3,4,5,5,5,7,8,9,4,7,3,(blank),Back-end web development,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),Angular,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),I don't work with CSS,My team doesn't practice a/b testing,(blank),Windows,Linux,,1,1,1,1,1,0,0,0,0,25 - 29,2,Android,Man,(blank),(blank),(blank),(blank),None of the above,Cat person
Chrome,(blank),(blank),(blank),Content Distribution Network (CDN),(blank),(blank),1-3 years,(blank),(blank),Over 15mbps,6,10,10,3,0,5,8,0,0,0,8,7,0,6,8,10,3,2,5,Front-end web development,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),I don't use any JavaScript frameworks,(blank),flexbox,grid,preprocessors,(blank),(blank),My team doesn't practice a/b testing,MacOS,(blank),(blank),,0,1,1,1,1,0,0,1,0,30 - 34,6,iOS,Man,(blank),(blank),(blank),(blank),None of the above,Neither
Chrome,HTTP2,(blank),(blank),(blank),(blank),Less than 1 year,(blank),(blank),(blank),5mbps to 10mbps,0,7,8,5,8,8,10,4,8,5,10,8,0,10,0,10,10,10,10,(blank),(blank),(blank),(blank),(blank),(blank),I am a developer but not for web,(blank),(blank),(blank),(blank),(blank),(blank),(blank),I use frameworks but none of these,(blank),(blank),(blank),(blank),(blank),(blank),I don't work with CSS,My team doesn't practice a/b testing,(blank),Windows,(blank),,0,1,1,0,1,0,0,0,0,18 - 24,2,iOS,Man,A computer science degree,(blank),(blank),A self-paced online learning program,(blank),Cat person
Other,HTTP2,(blank),(blank),Content Distribution Network (CDN),(blank),(blank),(blank),3-8 years,(blank),Over 15mbps,9,7,5,3,3,3,0,6,5,5,5,,7,2,8,10,7,5,8,(blank),Back-end web development,(blank),(blank),(blank),Admin/ops for web team,(blank),(blank),(blank),(blank),React,Angular,(blank),(blank),(blank),(blank),(blank),(blank),(blank),preprocessors,(blank),(blank),My team doesn't practice a/b testing,(blank),(blank),Linux,,1,1,1,1,1,0,0,1,0,30 - 34,8,Android,Prefer Not to Answer,(blank),(blank),(blank),(blank),None of the above,Neither
Safari,(blank),Service Workers,Browser Push Notifications,Content Distribution Network (CDN),Accelerated Mobile Pages (AMP),Less than 1 year,1-3 years,(blank),(blank),Over 15mbps,8,6,10,0,4,9,6,6,6,6,6,0,10,6,9,10,8,6,8,Front-end web development,Back-end web development,Web design,(blank),(blank),(blank),(blank),(blank),(blank),(blank),React,Angular,(blank),(blank),(blank),(blank),(blank),(blank),(blank),preprocessors,(blank),(blank),My team doesn't practice a/b testing,MacOS,(blank),(blank),,0,1,0,1,1,0,0,1,0,18 - 24,6,iOS,Prefer Not to Answer,A computer science degree,(blank),(blank),(blank),(blank),Cat person
Chrome,HTTP2,(blank),(blank),Content Distribution Network (CDN),Accelerated Mobile Pages (AMP),Less than 1 year,1-3 years,(blank),(blank),Over 15mbps,7,8,4,6,5,6,8,8,8,8,7,10,5,9,5,10,6,6,7,(blank),Back-end web development,(blank),Product manager for web team,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),Vue,(blank),(blank),(blank),flexbox,grid,(blank),(blank),(blank),My team doesn't practice a/b testing,MacOS,(blank),(blank),,0,0,1,1,1,1,0,1,0,,,iOS,Man,(blank),(blank),(blank),(blank),(blank),Cat person
Chrome,HTTP2,(blank),(blank),Content Distribution Network (CDN),(blank),(blank),1-3 years,(blank),(blank),Over 15mbps,6,7,9,2,5,5,7,7,2,2,2,8,7,8,7,10,9,5,2,Front-end web development,Back-end web development,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),React,Angular,(blank),(blank),(blank),(blank),(blank),flexbox,(blank),preprocessors,(blank),(blank),My team doesn't practice a/b testing,MacOS,Windows,(blank),,0,1,1,1,1,0,1,1,0,35 - 39,15,iOS,Man,A computer science degree,(blank),(blank),(blank),(blank),Neither
Chrome,(blank),(blank),Browser Push Notifications,(blank),(blank),Less than 1 year,(blank),(blank),(blank),5mbps to 10mbps,6,8,7,7,7,9,5,7,6,6,10,4,4,8,4,10,10,9,7,Front-end web development,Back-end web development,(blank),(blank),(blank),(blank),I am a developer but not for web,(blank),(blank),(blank),(blank),Angular,(blank),(blank),(blank),(blank),(blank),flexbox,grid,(blank),(blank),(blank),Third party product/service,(blank),Windows,(blank),,1,1,1,1,1,0,0,1,0,18 - 24,5,Android,Man,A computer science degree,(blank),(blank),(blank),(blank),Dog person
Chrome,(blank),(blank),(blank),Content Distribution Network (CDN),(blank),Less than 1 year,(blank),(blank),(blank),Over 15mbps,6,8,4,3,7,7,5,6,5,7,3,7,3,7,3,9,6,5,3,Front-end web development,Back-end web development,(blank),(blank),(blank),Admin/ops for web team,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),I don't use any JavaScript frameworks,(blank),flexbox,grid,(blank),(blank),(blank),Open source library/framework,(blank),(blank),Linux,,0,1,1,1,1,0,0,1,0,18 - 24,4,Android,Man,A computer science degree,(blank),(blank),(blank),(blank),Cat person
Firefox,HTTP2,(blank),(blank),Content Distribution Network (CDN),(blank),Less than 1 year,1-3 years,(blank),(blank),Over 15mbps,7,6,8,4,6,8,8,7,7,7,5,8,8,7,8,10,6,8,8,(blank),Back-end web development,(blank),(blank),Web tooling development,Admin/ops for web team,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),I don't write front-end JavaScript,(blank),(blank),(blank),(blank),I don't work with CSS,Third party product/service,MacOS,(blank),Linux,,0,0,1,1,1,0,0,1,0,25 - 29,7,iOS,Man,A computer science degree,(blank),(blank),(blank),(blank),Cat person
Chrome,(blank),(blank),(blank),(blank),(blank),Less than 1 year,(blank),(blank),(blank),Over 15mbps,,7,3,8,8,9,5,5,5,,5,3,5,1,4,10,4,3,5,Front-end web development,Back-end web development,(blank),(blank),(blank),Admin/ops for web team,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),I use frameworks but none of these,(blank),(blank),flexbox,(blank),preprocessors,(blank),(blank),My team doesn't practice a/b testing,MacOS,(blank),(blank),,0,0,1,1,1,0,1,,0,35 - 39,18,Android,Man,(blank),(blank),(blank),(blank),None of the above,Cat person
Firefox,(blank),Service Workers,(blank),Content Distribution Network (CDN),(blank),Less than 1 year,1-3 years,3-8 years,(blank),5mbps to 10mbps,9,7,7,8,6,7,9,9,8,8,6,8,4,5,7,6,8,3,7,Front-end web development,Back-end web development,Web design,Product manager for web team,Web tooling development,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),I use frameworks but none of these,(blank),(blank),flexbox,(blank),preprocessors,(blank),(blank),Custom built solution,(blank),Windows,(blank),FreeBSD,0,1,0,0,0,0,0,1,1,50 - 64,25,Android,Man,(blank),(blank),(blank),A self-paced online learning program,(blank),Cat person
Safari,HTTP2,Service Workers,Browser Push Notifications,(blank),(blank),(blank),1-3 years,3-8 years,(blank),Over 15mbps,4,7,7,4,7,8,6,6,2,7,7,9,7,4,3,8,6,8,8,Front-end web development,(blank),(blank),(blank),(blank),(blank),I am a developer but not for web,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),I don't use any JavaScript frameworks,(blank),flexbox,(blank),(blank),(blank),(blank),Third party product/service,MacOS,(blank),(blank),,1,0,1,1,1,0,1,1,1,25 - 29,4,iOS,Man,A computer science degree,(blank),(blank),(blank),(blank),Dog person
Firefox,(blank),(blank),Browser Push Notifications,Content Distribution Network (CDN),(blank),(blank),1-3 years,(blank),(blank),Over 15mbps,8,7,9,5,6,7,8,9,8,4,3,7,3,8,4,10,9,8,8,(blank),Back-end web development,(blank),(blank),Web tooling development,Admin/ops for web team,(blank),(blank),(blank),(blank),(blank),(blank),(blank),Vue,(blank),(blank),(blank),flexbox,(blank),preprocessors,(blank),(blank),My team doesn't practice a/b testing,MacOS,Windows,Linux,,1,0,1,0,1,0,0,1,1,30 - 34,10,iOS,Man,A computer science degree,(blank),(blank),A self-paced online learning program,(blank),Cat person
